County,COUNTY,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GR10,GR11,GR12,DOUBLED UP,HOTEL_MOTEL,0HELTERED,UN0HELTERED,Year
WESTCHESTER,WESTCHESTER,219,211,206,199,196,194,165,194,260,205,169,147,1823,0,839,0,2016
WYOMING,WYOMING,0,8,0,11,0,0,0,0,0,0,0,0,37,0,10,0,2016
YATES,YATES,8,6,6,5,0,0,0,0,8,6,0,5,56,6,0,0,2016
ALBANY,ALBANY,102,98,95,101,74,68,82,63,84,71,58,63,623,251,228,8,2017
ALLEGANY,ALLEGANY,5,0,6,7,5,10,6,7,6,0,0,5,61,0,0,7,2017
BROOME,BROOME,83,74,68,75,61,54,50,63,64,47,55,96,611,0,215,0,2017
CATTARAUGUS,CATTARAUGUS,13,12,19,17,9,8,6,6,10,12,14,16,116,0,30,0,2017
CAYUGA,CAYUGA,29,31,19,28,20,16,18,16,17,8,12,20,163,68,53,0,2017
CHAUTAUQUA,CHAUTAUQUA,45,40,35,28,26,37,26,27,19,23,28,11,318,56,0,0,2017
CHEMUNG,CHEMUNG,6,10,11,13,0,5,5,9,9,5,6,0,77,18,5,0,2017
CHENANGO,CHENANGO,8,13,10,13,14,6,12,6,10,9,11,12,112,0,12,0,2017
CLINTON,CLINTON,26,23,21,28,20,19,19,20,28,14,13,24,221,39,36,0,2017
COLUMBIA,COLUMBIA,20,16,17,12,18,11,9,15,26,11,9,28,107,39,11,56,2017
CORTLAND,CORTLAND,6,0,5,7,10,14,0,5,9,8,0,7,61,12,23,0,2017
DELAWARE,DELAWARE,0,0,6,0,0,0,0,0,0,5,5,7,45,0,0,0,2017
DUTCHESS,DUTCHESS,73,60,82,70,85,60,72,65,74,62,64,60,516,122,271,0,2017
ERIE,ERIE,252,228,230,215,193,187,194,166,198,151,143,156,2198,145,424,6,2017
ESSEX,ESSEX,0,0,0,0,0,0,0,0,0,0,0,6,27,0,0,0,2017
FRANKLIN,FRANKLIN,20,14,14,10,6,14,10,7,9,7,6,17,154,8,0,0,2017
FULTON,FULTON,9,10,7,14,12,12,11,10,10,7,6,15,118,0,16,0,2017
GENESEE,GENESEE,14,16,9,9,0,13,13,5,5,12,5,0,89,26,12,0,2017
GREENE,GREENE,0,6,8,8,6,5,11,0,11,0,6,6,48,28,14,0,2017
HAMILTON,HAMILTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
HERKIMER,HERKIMER,6,9,0,0,0,0,0,7,5,0,0,8,51,6,9,0,2017
